1;FEC ID;STATE;STATE ABBREVIATION;GENERAL ELECTION DATE;FIRST NAME;LAST NAME;LAST NAME,  FIRST;TOTAL VOTES;PARTY;GENERAL RESULTS;TOTAL VOTES #;GENERAL %;WINNER INDICATOR;
510;P20004263;Washington;WA;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;JUS;4.946;;0,16%;;
511;P20004636;Washington;WA;06.11.12;Peta;Lindsay;Lindsay, Peta;;SLP;1.318;;0,04%;;
512;P60004454;Washington;WA;06.11.12;James;Harris;Harris, James;;SWP;1.205;;0,04%;;
513;n/a;Washington;WA;06.11.12;;;;Total State Votes:;;3.125.516;3.125.516;;;
514;P80003353;West Virginia;WV;06.11.12;Mitt;Romney;Romney, Mitt;;R;417.655;;62,30%;W;
515;P80003338;West Virginia;WV;06.11.12;Barack;Obama;Obama, Barack;;D;238.269;;35,54%;;
516;P20002671;West Virginia;WV;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;6.302;;0,94%;;
517;P20003984;West Virginia;WV;06.11.12;Jill;Stein;Stein, Jill;;MTP;4.406;;0,66%;;
518;P20002424;West Virginia;WV;06.11.12;Randall;Terry;Terry, Randall;;NPA;3.806;;0,57%;;
519;n/a;West Virginia;WV;06.11.12;;;;Total State Votes:;;670.438;670.438;;;
520;P80003338;Wisconsin;WI;06.11.12;Barack;Obama;Obama, Barack;;D;1.620.985;;52,83%;W;
521;P80003353;Wisconsin;WI;06.11.12;Mitt;Romney;Romney, Mitt;;R;1.407.966;;45,89%;;
522;P20002671;Wisconsin;WI;06.11.12;Gary;Johnson;Johnson, Gary;;IND;20.439;;0,67%;;
523;P20003984;Wisconsin;WI;06.11.12;Jill;Stein;Stein, Jill;;IND;7.665;;0,25%;;
524;n/a;Wisconsin;WI;06.11.12;;Scattered;Scattered;;W;5.170;;0,17%;;
525;P20004685;Wisconsin;WI;06.11.12;Virgil;Goode;Goode, Virgil;;CON;4.930;;0,16%;;
526;P20004677;Wisconsin;WI;06.11.12;Jerry;White;White, Jerry;;IND;553;;0,02%;;
527;P80005572;Wisconsin;WI;06.11.12;Gloria;La Riva;La Riva, Gloria;;IND;526;;0,02%;;
528;P20004263;Wisconsin;WI;06.11.12;"Ross C. ""Rocky""";Anderson;"Anderson, Ross C. ""Rocky""";;W;112;;0,00%;;
529;P20002804;Wisconsin;WI;06.11.12;Roseanne;Barr;Barr, Roseanne;;W;88;;0,00%;;
530;n/a;Wisconsin;WI;06.11.12;;;;Total State Votes:;;3.068.434;3.068.434;;;
531;P80003353;Wyoming;WY;06.11.12;Mitt;Romney;Romney, Mitt;;R;170.962;;68,64%;W;
532;P80003338;Wyoming;WY;06.11.12;Barack;Obama;Obama, Barack;;D;69.286;;27,82%;;
533;P20002671;Wyoming;WY;06.11.12;Gary;Johnson;Johnson, Gary;;LIB;5.326;;2,14%;;
534;n/a;Wyoming;WY;06.11.12;;Scattered;Scattered;;W;2.035;;0,82%;;
535;P20004685;Wyoming;WY;06.11.12;Virgil H.;Goode;Goode, Virgil H.;;CON;1.452;;0,58%;;
536;n/a;Wyoming;WY;06.11.12;;;;Total State Votes: ;;249.061;249.061;;;
